   Total traj: 161   Grd Total: 935576
   Total traj: 151   Grd Total: 177681
   Total traj: 8   Grd Total: 2385
   Total traj: 104   Grd Total: 373045
   Total traj: 9   Grd Total: 336
   Total traj: 31   Grd Total: 4004
   Total traj: 22   Grd Total: 24769
   Total traj: 8   Grd Total: 23606
   Total traj: 2   Grd Total: 17
   Total traj: 706   Grd Total: 330302
   Total traj: 253     23   Grd Total: 58754
   Total traj: 137   Grd Total: 426101
   Total traj: 120   Grd Total: 394329
   Total traj: 408   Grd Total: 937876
   Total traj: 8   Grd Total: 16469
   Total traj: 112   Grd Total: 43135
   Total traj: 13   Grd Total: 37549
   Total traj: 11   Grd Total: 961
   Total traj: 100   Grd Total: 75509
   Total traj: 9   Grd Total: 711
   Total traj: 32   Grd Total: 44252
   Total traj: 96   Grd Total: 172547
   Total traj: 215   Grd Total: 401332
   Total traj: 427   Grd Total: 601871
   Total traj: 6   Grd Total: 561
   Total traj: 8   Grd Total: 152
   Total traj: 59   Grd Total: 27030
   Total traj: 64   Grd Total: 30922
   Total traj: 98   Grd Total: 11426
   Total traj: 157   Grd Total: 55660
   Total traj: 112   Grd Total: 231088
   Total traj: 38   Grd Total: 1554
   Total traj: 6   Grd Total: 813
   Total traj: 7   Grd Total: 6257
   Total traj: 68   Grd Total: 13738
   Total traj: 38   Grd Total: 6678
   Total traj: 115   Grd Total: 38572
   Total traj: 10   Grd Total: 1977
   Total traj: 3   Grd Total: 1985
   Total traj: 3   Grd Total: 199
   Total traj: 9   Grd Total: 484
   Total traj: 25   Grd Total: 5520
   Total traj: 44   Grd Total: 15326
   Total traj: 212   Grd Total: 90565
   Total traj: 23   Grd Total: 12332
   Total traj: 184   Grd Total: 148411
   Total traj: 3   Grd Total: 2514
   Total traj: 8   Grd Total: 341
   Total traj: 5   Grd Total: 1360
   Total traj: 10   Grd Total: 120113
   Total traj: 57   Grd Total: 96522
   Total traj: 263   Grd Total: 421569
   Total traj: 2153   Grd Total: 1208500
   Total traj: 8   Grd Total: 16338
   Total traj: 17   Grd Total: 1306
   Total traj: 18   Grd Total: 2351
   Total traj: 19   Grd Total: 1353
   Total traj: 34   Grd Total: 314134
   Total traj: 610   Grd Total: 582849
   Total traj: 84   Grd Total: 33891
   Total traj: 2024   Grd Total: 2156994
   Total traj: 31   Grd Total: 2928
   Total traj: 16   Grd Total: 799
   Total traj: 809   Grd Total: 969100
