,Nombre,Alto,Ancho
0,100000011971.jpeg,1394,1394
1,100000011973.jpeg,975,975
2,100000021966.jpeg,1283,1283
3,100000021968.jpeg,2168,2168
4,100000021969.jpeg,1150,1150
5,100000021971.jpeg,1026,1026
6,100000021977.jpeg,2209,2209
7,100000031968.jpeg,1048,1048
8,100000031971.jpeg,1535,1535
9,100000041977.jpeg,1099,1099
10,100000051977.jpeg,1672,1672
11,100000061964.jpeg,1012,1012
12,100000061977.jpeg,2199,2199
13,100000071964.jpeg,916,916
14,100000071972.jpeg,903,903
15,100000071977.jpeg,1124,1124
16,100000081969.jpeg,912,912
17,100000081977.jpeg,1639,1639
18,100000091970.jpeg,1039,1039
19,100000101964.jpeg,1036,1036
20,100000101967.jpeg,1419,1419
21,100000101968.jpeg,1517,1517
22,100000101978.jpeg,3937,3937
23,100000111966.jpeg,1241,1241
24,100000111972.jpeg,1081,1081
25,100000121967.jpeg,1247,1247
26,100000131964.jpeg,1473,1473
27,100000131968.jpeg,1057,1057
28,100000141968.jpeg,1058,1058
29,100000171972.jpeg,1045,1045
30,100000181969.jpeg,1253,1253
31,100000191968.jpeg,1367,1367
32,100000201968.jpeg,1370,1370
33,100000201969.jpeg,1050,1050
34,100000201975.jpeg,1102,1102
35,100000211970.jpeg,1357,1357
36,100000221975.jpeg,1114,1114
37,100000231970.jpeg,2120,2120
38,100000251966.jpeg,1202,1202
39,100000251970.jpeg,2128,2128
40,100000261966.jpeg,1209,1209
41,100000261968.jpeg,1057,1057
42,100000261970.jpeg,1157,1157
43,100000271963.jpeg,948,948
44,100000271966.jpeg,1169,1169
45,100000271967.jpeg,1143,1143
46,100000271968.jpeg,1058,1058
47,100000291973.jpeg,1089,1089
48,100000301973.jpeg,1115,1115
49,100000311969.jpeg,1388,1388
50,100000311975.jpeg,1014,1014
51,100000321966.jpeg,1731,1731
52,100000341968.jpeg,992,992
53,100000351965.jpeg,1776,1776
54,100000351975.jpeg,1051,1051
55,100000361963.jpeg,1262,1262
56,100000361967.jpeg,2144,2144
57,100000371964.jpeg,1186,1186
58,100000381964.jpeg,897,897
59,100000381965.jpeg,1098,1098
